ClassName,Category,ElementName,LocatorName,ExpectedText
Page_ImprovingNutritionCourse,courselesson4data,Lesson-4 Page-3 text,improvingnutrition_pagesheader,WHOLE GRAINS
Page_ImprovingNutritionCourse,courselesson4data,Lesson-4 Page-4 text,improvingnutrition_pagesheader,DAIRY AND DAIRY ALTERNATIVES
Page_ImprovingNutritionCourse,courselesson4data,Lesson-4 Page-5 text,improvingnutrition_pagesheader,PROTEIN
Page_ImprovingNutritionCourse,courselesson4data,Lesson-4 Page-6 text,improvingnutrition_pagesheader,RECRUITING SUPPORT

Page_ImprovingNutritionCourse,courselesson5data,Lesson-5 Course Overview Header,courseoverviewheader,Course Overview
Page_ImprovingNutritionCourse,courselesson5data,Lesson-5 LinkText,fifthlessontext,Nutrients to Notice
Page_ImprovingNutritionCourse,courselesson5data,Lesson-5 Overview Text,improvingnutrition_overviewheader,Overview
Page_ImprovingNutritionCourse,courselesson5data,Lesson-5 Page-1 text,improvingnutrition_pagesheader,no_element
Page_ImprovingNutritionCourse,courselesson5data,Lesson-5 Page-2 text,improvingnutrition_pagesheader,LIMIT DIETARY FAT
Page_ImprovingNutritionCourse,courselesson5data,Lesson-5 Page-3 text,improvingnutrition_pagesheader,LIMIT DIETARY CHOLESTEROL?
Page_ImprovingNutritionCourse,courselesson5data,Lesson-5 Page-4 text,improvingnutrition_pagesheader,LIMIT SODIUM
Page_ImprovingNutritionCourse,courselesson5data,Lesson-5 Page-5 text,improvingnutrition_pagesheader,LIMIT ADDED SUGARS
Page_ImprovingNutritionCourse,courselesson5data,Lesson-5 Page-6 text,improvingnutrition_pagesheader,LIMIT ALCOHOL
Page_ImprovingNutritionCourse,courselesson5data,Lesson-5 Page-7 text,improvingnutrition_pagesheader,WHAT ARE YOU TELLING YOURSELF?

Page_ImprovingNutritionCourse,courselesson6data,Lesson-6 Course Overview Header,courseoverviewheader,Course Overview
Page_ImprovingNutritionCourse,courselesson6data,Lesson-6 LinkText,sixthlessontext,Putting It All Together
Page_ImprovingNutritionCourse,courselesson6data,Lesson-6 Overview Text,improvingnutrition_overviewheader,Overview
Page_ImprovingNutritionCourse,courselesson6data,Lesson-6 Page-1 text,improvingnutrition_pagesheader,no_element
Page_ImprovingNutritionCourse,courselesson6data,Lesson-6 Page-2 text,improvingnutrition_pagesheader,USDA FOOD PATTERN
Page_ImprovingNutritionCourse,courselesson6data,Lesson-6 Page-3 text,improvingnutrition_pagesheader,VEGETARIAN EATING PATTERN
Page_ImprovingNutritionCourse,courselesson6data,Lesson-6 Page-4 text,improvingnutrition_pagesheader,PORTION SIZE VS. SERVING SIZE
Page_ImprovingNutritionCourse,courselesson6data,Lesson-6 Page-5 text,improvingnutrition_pagesheader,EVALUATE YOUR PROGRESS

Page_ImprovingNutritionCourse,courselesson7data,Lesson-7 Course Overview Header,courseoverviewheader,Course Overview
Page_ImprovingNutritionCourse,courselesson7data,Lesson-7 LinkText,seventhlessontext,Planning for Success
Page_ImprovingNutritionCourse,courselesson7data,Lesson-7 Overview Text,improvingnutrition_overviewheader,Overview
Page_ImprovingNutritionCourse,courselesson7data,Lesson-7 Page-1 text,improvingnutrition_pagesheader,no_element
Page_ImprovingNutritionCourse,courselesson7data,Lesson-7 Page-2 text,improvingnutrition_pagesheader,GROCERY SHOPPING
